oil | id  | тв | оч | мя | пу | кр | Й
кок | 26  | 79 | 67 | 10 | 67 | 12 | 10
пал | 72  | 50 | 1  | 49 | 1  | 49 | 53
пая | 74  | 75 | 65 | 18 | 65 | 10 | 20
кас | 23  | 0  | 0  | 98 | 90 | 90 | 86
реп | 84  | 7  | 0  | 90 | 0  | 7  | 145
льн | 42  | 9  | 0  | 90 | 0  | 9  | 180
рап | 81  | 4  | 0  | 86 | 0  | 4  | 108
кон | 28  | 8  | 0  | 87 | 0  | 8  | 160
баб | 7   | 69 | 55 | 22 | 55 | 14 | 10
ши  | 100 | 48 | 0  | 49 | 0  | 48 | 58
как | 19  | 61 | 0  | 38 | 0  | 61 | 37
оли | 69  | 17 | 0  | 82 | 0  | 17 | 85
под | 78  | 11 | 0  | 87 | 0  | 11 | 133
вин | 10  | 11 | 0  | 88 | 0  | 11 | 138

gcc -o calc -std=c11 calc.c optim.c oil.c 
